"","Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding"
"14","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,864,"Number of days/week walked 10+ minutes",501557,578271,"Complete","Integer","days/week","Data","Primary","Unisex",4,1,100307
"15","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,874,"Duration of walks",480125,552987,"Complete","Integer","minutes/day","Data","Primary","Unisex",4,1,100291
"16","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,884,"Number of days/week of moderate physical activity 10+ minutes",501553,578267,"Complete","Integer","days/week","Data","Primary","Unisex",4,1,100291
"17","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,894,"Duration of moderate activity",418357,479596,"Complete","Integer","minutes/day","Data","Primary","Unisex",4,1,100291
"18","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,904,"Number of days/week of vigorous physical activity 10+ minutes",501553,578267,"Complete","Integer","days/week","Data","Primary","Unisex",4,1,100291
"19","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,914,"Duration of vigorous activity",305028,345936,"Complete","Integer","minutes/day","Data","Primary","Unisex",4,1,100291
"20","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,924,"Usual walking pace",499664,576233,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100313
"21","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,943,"Frequency of stair climbing in last 4 weeks",496853,572483,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100314
"22","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,971,"Frequency of walking for pleasure in last 4 weeks",360280,411840,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100317
"23","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,981,"Duration walking for pleasure",360280,411840,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100318
"24","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,991,"Frequency of strenuous sports in last 4 weeks",53824,59189,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100317
"25","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,1001,"Duration of strenuous sports",53824,59189,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100318
"26","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,1011,"Frequency of light DIY in last 4 weeks",261462,292353,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100317
"27","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,1021,"Duration of light DIY",261462,292353,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100318
"28","Assessment Centre > Touchscreen > Psychosocial factors > Social support",100061,1031,"Frequency of friend/family visits",498722,574494,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100327
"29","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,1070,"Time spent watching television (TV)",501548,578262,"Complete","Integer","hours/day","Data","Primary","Unisex",4,1,100329
"30","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,1080,"Time spent using computer",498720,574492,"Complete","Integer","hours/day","Data","Primary","Unisex",4,1,100329
"31","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,1090,"Time spent driving",501332,578019,"Complete","Integer","hours/day","Data","Primary","Unisex",4,1,100329
"32","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1160,"Sleep duration",501544,578258,"Complete","Integer","hours/day","Data","Primary","Unisex",4,1,100291
"33","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1170,"Getting up in morning",498717,574489,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100341
"34","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1180,"Morning/evening person (chronotype)",498715,574487,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100342
"35","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1190,"Nap during day",501540,578254,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100343
"36","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1200,"Sleeplessness / insomnia",501540,578254,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100343
"37","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1210,"Snoring",501540,578254,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100345
"38","Assessment Centre > Touchscreen > Lifestyle and environment > Sleep",100057,1220,"Daytime dozing / sleeping (narcolepsy)",501540,578254,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100346
"39","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,1239,"Current tobacco smoking",501540,578254,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100347
"40","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,1249,"Past tobacco smoking",463730,537250,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100348
"41","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,1259,"Smoking/smokers in household",461252,533881,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100370
"42","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,1269,"Exposure to tobacco smoke at home",464108,537650,"Complete","Integer","hours/week","Data","Primary","Unisex",4,1,100291
"43","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,1279,"Exposure to tobacco smoke outside home",464108,537650,"Complete","Integer","hours/week","Data","Primary","Unisex",4,1,100291
"44","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1289,"Cooked vegetable intake",501538,578252,"Complete","Integer","tablespoons/day","Data","Primary","Unisex",4,1,100373
"45","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1299,"Salad / raw vegetable intake",501538,578252,"Complete","Integer","tablespoons/day","Data","Primary","Unisex",4,1,100373
"46","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1309,"Fresh fruit intake",501538,578252,"Complete","Integer","pieces/day","Data","Primary","Unisex",4,1,100373
"47","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1319,"Dried fruit intake",501537,578251,"Complete","Integer","pieces/day","Data","Primary","Unisex",4,1,100373
"48","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1329,"Oily fish intake",501537,578251,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"49","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1339,"Non-oily fish intake",501537,578251,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"50","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1349,"Processed meat intake",501536,578250,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"51","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1359,"Poultry intake",501536,578250,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"52","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1369,"Beef intake",501536,578250,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"53","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1379,"Lamb/mutton intake",501536,578250,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"54","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1389,"Pork intake",501534,578248,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"55","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1408,"Cheese intake",490231,564616,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100377
"56","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1418,"Milk type used",501465,578165,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100387
"57","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1428,"Spread type",498707,574479,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100388
"58","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1438,"Bread intake",498707,574479,"Complete","Integer","slices/week","Data","Primary","Unisex",4,1,100373
"59","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1448,"Bread type",483678,554647,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100391
"60","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1458,"Cereal intake",501435,578131,"Complete","Integer","bowls/week","Data","Primary","Unisex",4,1,100373
"61","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1468,"Cereal type",419339,477639,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100393
"62","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1478,"Salt added to food",501534,578248,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100394
"63","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1488,"Tea intake",501534,578248,"Complete","Integer","cups/day","Data","Primary","Unisex",4,1,100373
"64","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1508,"Coffee type",391504,449651,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100397
"65","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1518,"Hot drink temperature",501534,578248,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100398
"66","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1528,"Water intake",501534,578248,"Complete","Integer","glasses/day","Data","Primary","Unisex",4,1,100373
"67","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1538,"Major dietary changes in the last 5 years",501534,578248,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100400
"68","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,1548,"Variation in diet",498707,574479,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100401
"69","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1558,"Alcohol intake frequency.",501534,578248,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100402
"70","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1568,"Average weekly red wine intake",349212,401143,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"71","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1578,"Average weekly champagne plus white wine intake",349211,401142,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"72","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1588,"Average weekly beer plus cider intake",349211,401142,"Complete","Integer","pints","Data","Primary","Unisex",4,1,100291
"73","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1598,"Average weekly spirits intake",349211,401142,"Complete","Integer","measures","Data","Primary","Unisex",4,1,100291
"74","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1608,"Average weekly fortified wine intake",349211,401142,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"75","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1618,"Alcohol usually taken with meals",395361,458830,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100416
"76","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,1628,"Alcohol intake versus 10 years previously",460859,531849,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100417
"77","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1920,"Mood swings",501527,578241,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"78","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1930,"Miserableness",501527,578241,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"79","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1940,"Irritability",501527,578241,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"80","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1950,"Sensitivity / hurt feelings",501526,578240,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"81","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1960,"Fed-up feelings",501526,578240,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"82","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1970,"Nervous feelings",501526,578240,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"83","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1980,"Worrier / anxious feelings",501525,578239,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"84","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,1990,"Tense / 'highly strung'",501525,578239,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"85","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2000,"Worry too long after embarrassment",501525,578239,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"86","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2010,"Suffer from 'nerves'",501525,578239,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"87","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2020,"Loneliness, isolation",501524,578238,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"88","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2030,"Guilty feelings",501524,578238,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"89","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2040,"Risk taking",501524,578238,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"90","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2050,"Frequency of depressed mood in last 2 weeks",501524,578238,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100484
"91","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2060,"Frequency of unenthusiasm / disinterest in last 2 weeks",501523,578237,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100484
"92","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2070,"Frequency of tenseness / restlessness in last 2 weeks",501522,578236,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100484
"93","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2080,"Frequency of tiredness / lethargy in last 2 weeks",501521,578235,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100484
"94","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",501520,578234,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"95","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,2100,"Seen a psychiatrist for nerves, anxiety, tension or depression",501520,578234,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"96","Assessment Centre > Touchscreen > Psychosocial factors > Social support",100061,2110,"Able to confide",501519,578233,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100501
"97","Assessment Centre > Touchscreen > Health and medical history > General health",100042,2178,"Overall health rating",501513,578227,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100508
"98","Assessment Centre > Touchscreen > Health and medical history > General health",100042,2188,"Long-standing illness, disability or infirmity",501513,578227,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"99","Assessment Centre > Touchscreen > Health and medical history > General health",100042,2296,"Falls in the last year",501511,578225,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100539
"100","Assessment Centre > Touchscreen > Health and medical history > General health",100042,2306,"Weight change compared with 1 year ago",501511,578225,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100540
"101","Assessment Centre > Touchscreen > Health and medical history > Breathing",100037,2316,"Wheeze or whistling in the chest in last year",501510,578224,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"102","Assessment Centre > Touchscreen > Health and medical history > Chest pain",100039,2335,"Chest pain or discomfort",501508,578222,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"103","Assessment Centre > Touchscreen > Health and medical history > Operations",100047,2415,"Had major operations",228624,265843,"Complete","Categorical single","","Data","Primary","Male",4,1,100603
"104","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,2624,"Frequency of heavy DIY in last 4 weeks",216050,240045,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100317
"105","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,2634,"Duration of heavy DIY",216050,240045,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100318
"106","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2644,"Light smokers, at least 100 smokes in lifetime",141966,159111,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"107","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,2654,"Non-butter spread type details",264583,288653,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100389
"108","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,2664,"Reason for reducing amount of alcohol drunk",220051,242070,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100418
"109","Assessment Centre > Touchscreen > Health and medical history > Operations",100047,2844,"Had other major operations",272863,312349,"Complete","Categorical single","","Data","Primary","Female",4,1,100603
"110","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2867,"Age started smoking in former smokers",123572,139056,"Complete","Integer","years","Data","Primary","Unisex",4,1,100291
"111","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2877,"Type of tobacco previously smoked",123572,139056,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100351
"112","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2887,"Number of cigarettes previously smoked daily",118096,132669,"Complete","Integer","cigarettes/day","Data","Primary","Unisex",4,1,100353
"113","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2897,"Age stopped smoking",123572,139056,"Complete","Integer","years","Data","Primary","Unisex",4,1,100291
"114","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2907,"Ever stopped smoking for 6+ months",122824,138126,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"115","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,2926,"Number of unsuccessful stop-smoking attempts",122824,138126,"Complete","Integer","","Data","Primary","Unisex",4,1,100291
"116","Assessment Centre > Touchscreen > Health and medical history > Pain",100048,2956,"General pain for 3+ months",9387,9595,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"117","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,3077,"Seating box height",497149,571529,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100262
"118","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,3160,"Weight, manual entry",8693,8802,"Complete","Continuous","Kg","Data","Primary","Unisex",4,1,NA
"119","Assessment Centre > Touchscreen > Health and medical history > Pain",100048,3414,"Hip pain for 3+ months",61902,64471,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"120","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,3436,"Age started smoking in current smokers",39522,41004,"Complete","Integer","years","Data","Primary","Unisex",4,1,100291
"121","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,3446,"Type of tobacco currently smoked",39522,41004,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100351
"122","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,3456,"Number of cigarettes currently smoked daily (current cigarette smokers)",36730,38078,"Complete","Integer","cigarettes/day","Data","Primary","Unisex",4,1,100355
"123","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,3466,"Time from waking to first cigarette",36386,37712,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100356
"124","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,3506,"Smoking compared to 10 years previous",39522,41004,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100360
"125","Assessment Centre > Touchscreen > Health and medical history > Pain",100048,3571,"Back pain for 3+ months",137852,145321,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"126","Assessment Centre > Touchscreen > Health and medical history > Chest pain",100039,3606,"Chest pain or discomfort walking normally",85383,89451,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100563
"127","Assessment Centre > Touchscreen > Health and medical history > Chest pain",100039,3616,"Chest pain due to walking ceases when standing still",33824,34895,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"128","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,3637,"Frequency of other exercises in last 4 weeks",246194,277403,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100317
"129","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,3647,"Duration of other exercises",246194,277403,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100318
"130","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,3680,"Age when last ate meat",21232,24938,"Complete","Integer","years","Data","Primary","Unisex",4,1,100291
"131","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,3731,"Former alcohol drinker",42435,45770,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100352
"132","Assessment Centre > Touchscreen > Health and medical history > Chest pain",100039,3751,"Chest pain or discomfort when walking uphill or hurrying",69457,72591,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100564
"133","Assessment Centre > Touchscreen > Health and medical history > Pain",100048,3773,"Knee pain for 3+ months",116661,123166,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"134","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,3859,"Reason former drinker stopped drinking alcohol",19298,20546,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100418
"135","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4407,"Average monthly red wine intake",52605,57688,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"136","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4418,"Average monthly champagne plus white wine intake",52605,57688,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"137","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4429,"Average monthly beer plus cider intake",52605,57688,"Complete","Integer","pints","Data","Primary","Unisex",4,1,100291
"138","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4440,"Average monthly spirits intake",52605,57688,"Complete","Integer","measures","Data","Primary","Unisex",4,1,100291
"139","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4451,"Average monthly fortified wine intake",52605,57688,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"140","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4462,"Average monthly intake of other alcoholic drinks",52605,57688,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"141","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,4598,"Ever depressed for a whole week",215953,249399,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"142","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,4609,"Longest period of depression",113906,127472,"Complete","Integer","weeks","Data","Primary","Unisex",4,1,100291
"143","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,4620,"Number of depression episodes",113906,127472,"Complete","Integer","periods","Data","Primary","Unisex",4,1,100291
"144","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,4631,"Ever unenthusiastic/disinterested for a whole week",215953,249399,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"145","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,4642,"Ever manic/hyper for 2 days",215953,249399,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"146","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,4653,"Ever highly irritable/argumentative for 2 days",215953,249399,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"147","Assessment Centre > Touchscreen > Health and medical history > Breathing",100037,4717,"Shortness of breath walking on level ground",215953,249399,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"148","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,4728,"Leg pain on walking",215953,249399,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"149","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,5364,"Average weekly intake of other alcoholic drinks",148098,170778,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291
"150","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,5375,"Longest period of unenthusiasm / disinterest",76583,83946,"Complete","Integer","weeks","Data","Primary","Unisex",4,1,100291
"151","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,5386,"Number of unenthusiastic/disinterested episodes",76580,83942,"Complete","Integer","periods","Data","Primary","Unisex",4,1,100291
"152","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5452,"Leg pain when standing still or sitting",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"153","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5463,"Leg pain in calf/calves",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"154","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5474,"Leg pain when walking uphill or hurrying",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"155","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5485,"Leg pain when walking normally",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"156","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5496,"Leg pain when walking ever disappears while walking",28362,29402,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
